<br.com.caelum.vraptor.http.DefaultResourceTranslator: br.com.caelum.vraptor.resource.ResourceMethod translate(br.com.caelum.vraptor.core.RequestInfo)>/request#_48
<ognl.ASTAdd: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack330
<ognl.ASTAdd: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack271
<ognl.ASTList: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack46
<ognl.ASTChain: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack27
<ognl.ASTChain: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack31
<br.com.caelum.vraptor.scan.JavassistBootstrapGeneratorTest$1: java.lang.Void call()>/$stack25
<ognl.ASTOr: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack16
<ognl.ASTOr: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack32
<ognl.ASTMethod: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/root#_84
<ognl.ASTProperty: java.lang.Object getProperty(ognl.OgnlContext,java.lang.Object)>/$stack5
<ognl.ASTMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack64
<ognl.ASTMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack68
<ognl.ASTMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack78
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack180
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack189
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack194
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack25
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack294
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack147
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack30
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack51
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack58
<ognl.ASTMethod: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack53
<ognl.ASTMethod: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack57
<ognl.ASTMethod: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack94
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack169
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack173
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack178
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack25
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack300
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack135
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack89
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack47
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack58
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack55
<ognl.ExpressionNode: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack56
<ognl.ASTStaticMethod: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/root#_71
<ognl.ASTStaticMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack65
<ognl.ASTStaticMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack69
<ognl.ASTStaticMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack79
<ognl.ASTCtor: java.lang.Object getValueBody(ognl.OgnlContext,java.lang.Object)>/root#_78
<ognl.ASTCtor: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack179
<br.com.caelum.vraptor.resource.DefaultResourceNotFoundHandler: void couldntFind(br.com.caelum.vraptor.core.RequestInfo)>/$stack6
<br.com.caelum.vraptor.view.DefaultPageResult$1: java.lang.Object intercept(java.lang.Object,java.lang.reflect.Method,java.lang.Object[],br.com.caelum.vraptor.proxy.SuperMethod)>/$stack17
<ognl.OgnlRuntime: java.lang.reflect.Method getMethod(ognl.OgnlContext,java.lang.Class,java.lang.String,ognl.Node[],boolean)>/$stack74
<ognl.OgnlRuntime: java.lang.reflect.Method getMethod(ognl.OgnlContext,java.lang.Class,java.lang.String,ognl.Node[],boolean)>/cast#_2361
<ognl.OgnlRuntime: java.lang.String getChildSource(ognl.OgnlContext,java.lang.Object,ognl.Node,boolean)>/$stack32
<ognl.ASTSequence: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack69
<br.com.caelum.vraptor.http.route.PathAnnotationRoutesParserTest$1: br.com.caelum.vraptor.http.route.DefaultRouteBuilder answer(org.mockito.invocation.InvocationOnMock)>/$stack8
<br.com.caelum.vraptor.http.route.DefaultRouteBuilder$DefaultParameterControlBuilder: br.com.caelum.vraptor.http.route.ParametersControl build()>/$stack6
<br.com.caelum.vraptor.http.ognl.OgnlFacade: void setValue(java.lang.String,java.lang.String,java.lang.String[])>/$stack8
<br.com.caelum.vraptor.http.route.PathAnnotationRoutesParserTest$1: br.com.caelum.vraptor.http.route.DefaultRouteBuilder answer(org.mockito.invocation.InvocationOnMock)>/$stack10
<ognl.ASTAnd: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack9
<ognl.ASTAdd: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack327
<ognl.ASTAdd: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack285
<ognl.ASTList: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack208
<ognl.ASTChain: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack11
<ognl.ASTChain: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack10
<ognl.ASTChain: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack11
<ognl.ASTOr: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack9
<ognl.ASTMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack55
<ognl.ASTMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack223
<ognl.ASTProperty: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack277
<ognl.ASTMethod: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack44
<ognl.ASTMethod: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack230
<ognl.ASTProperty: java.lang.String toSetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack285
<ognl.ExpressionNode: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack73
<ognl.ExpressionNode: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack51
<ognl.ASTStaticMethod: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack220
<ognl.ASTCtor: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack216
<ognl.OgnlRuntime: java.lang.String getChildSource(ognl.OgnlContext,java.lang.Object,ognl.Node,boolean)>/$stack7
<ognl.OgnlRuntime: java.lang.String getChildSource(ognl.OgnlContext,java.lang.Object,ognl.Node,boolean)>/$stack21
<ognl.enhance.ExpressionCompiler: void addCastString(ognl.OgnlContext,java.lang.String)>/$stack3
<ognl.enhance.ExpressionCompiler: java.lang.String castExpression(ognl.OgnlContext,ognl.Node,java.lang.String)>/$stack61
<ognl.enhance.ExpressionCompiler: java.lang.String generateGetter(ognl.OgnlContext,javassist.CtClass,javassist.CtClass,javassist.ClassPool,javassist.CtMethod,ognl.Node,java.lang.Object)>/$stack17
<ognl.enhance.ExpressionCompiler: java.lang.String generateGetter(ognl.OgnlContext,javassist.CtClass,javassist.CtClass,javassist.ClassPool,javassist.CtMethod,ognl.Node,java.lang.Object)>/$stack28
<ognl.enhance.ExpressionCompiler: java.lang.String generateSetter(ognl.OgnlContext,javassist.CtClass,javassist.CtClass,javassist.ClassPool,javassist.CtMethod,ognl.Node,java.lang.Object)>/$stack22
<ognl.enhance.ExpressionCompiler: java.lang.String generateSetter(ognl.OgnlContext,javassist.CtClass,javassist.CtClass,javassist.ClassPool,javassist.CtMethod,ognl.Node,java.lang.Object)>/$stack27
<ognl.ASTSequence: java.lang.String toGetSourceString(ognl.OgnlContext,java.lang.Object)>/$stack65
<br.com.caelum.vraptor.view.DefaultLogicResultTest: void shouldPutParametersOnFlashScopeOnRedirect()>/$stack5
<br.com.caelum.vraptor.view.DefaultLogicResultTest: void shouldNotPutParametersOnFlashScopeOnRedirectIfThereAreNoParameters()>/$stack6
<br.com.caelum.vraptor.http.iogi.IogiParametersProviderTest: void willCreateAnIogiParameterForEachRequestParameterValue()>/$stack19
<br.com.caelum.vraptor.http.iogi.IogiParametersProviderTest: void willCreateATargerForEachFormalParameterDeclaredByTheMethod()>/$stack13
<br.com.caelum.vraptor.restfulie.LinkConverterTest: void shouldSetupRelations()>/$stack5
<br.com.caelum.vraptor.interceptor.ExceptionHandlerInterceptorTest: void withRootException()>/$stack20
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void shouldCreateDirInsideAppIfTempDirAreNotAvailable()>/$stack39
<br.com.caelum.vraptor.http.WebXmlEncodingHandlerTest: void shouldSetEncodingToUTF8()>/$stack9
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldSetRequestAttribute()>/$stack4
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldIncludeExtractedNameWhenSimplyIncluding()>/$stack10
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldNotIncludeTheAttributeWhenTheValueIsNull()>/$stack5
<org.springframework.web.context.request.RequestContextListener: void requestInitialized(javax.servlet.ServletRequestEvent)>/$stack6
<javax.servlet.http.HttpServletRequestWrapper: javax.servlet.http.HttpServletRequest _getHttpServletRequest()>/$stack1
<br.com.caelum.vraptor.http.DefaultFormatResolverTest: void if_formatNotSpecifiedShouldReturnRequestAcceptFormat()>/$stack18
<br.com.caelum.vraptor.http.DefaultFormatResolverTest: void if_formatNotSpecifiedAndNoAcceptsHaveFormat()>/$stack13
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFilesAndFields()>/$stack59
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFilesAndFields()>/$stack65
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void fieldsWithSameName()>/$stack47
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void fieldsWithSameName()>/$stack53
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void multipleUpload()>/$stack47
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void multipleUpload()>/$stack53
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void checkIfFileHasBeenUploaded()>/$stack35
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToLogicResultOnForwardToLogic()>/$stack2
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToLogicResultOnForwardToLogic()>/$stack5
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToLogicResultOnRedirectToLogic()>/$stack2
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToLogicResultOnRedirectToLogic()>/$stack5
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToLogicResultOnRedirectToLogicWithInstance()>/$stack2
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToLogicResultOnRedirectToLogicWithInstance()>/$stack6
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToLogicResultOnForwardToLogicWithInstance()>/$stack2
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToLogicResultOnForwardToLogicWithInstance()>/$stack6
<br.com.caelum.vraptor.view.DefaultRefererResultTest: void whenRefererMatchesAControllerShouldRedirectToIt()>/$stack35
<br.com.caelum.vraptor.view.DefaultRefererResultTest: void whenRefererMatchesAControllerShouldForwardToIt()>/$stack35
<br.com.caelum.vraptor.view.DefaultLogicResultTest: void shouldIncludeReturnValueOnForward()>/$stack16
<br.com.caelum.vraptor.interceptor.ParametersInstantiatorInterceptorTest: void shouldConvertArrayParametersToIndexParameters()>/$stack17
<br.com.caelum.vraptor.interceptor.ParametersInstantiatorInterceptorTest: void shouldConvertArrayParametersToIndexParameters()>/$stack21
<br.com.caelum.vraptor.interceptor.ParametersInstantiatorInterceptorTest: void shouldConvertArrayParametersToIndexParameters()>/$stack25
<br.com.caelum.vraptor.interceptor.ParametersInstantiatorInterceptorTest: void shouldAddHeaderInformationToRequestWhenHeaderParamAnnotationIsPresent()>/$stack29
<br.com.caelum.vraptor.interceptor.ParametersInstantiatorInterceptorTest: void shouldAddHeaderInformationToRequestWhenHeaderParamAnnotationIsNotPresent()>/$stack26
<br.com.caelum.vraptor.interceptor.ParametersInstantiatorInterceptorTest: void shouldAddVariousHeaderInformationsToRequestWhenHeaderParamAnnotationIsPresent()>/$stack37
<br.com.caelum.vraptor.interceptor.ParametersInstantiatorInterceptorTest: void shouldAddVariousHeaderInformationsToRequestWhenHeaderParamAnnotationIsPresent()>/$stack40
<br.com.caelum.vraptor.interceptor.ParametersInstantiatorInterceptorTest: void shouldAddVariousHeaderInformationsToRequestWhenHeaderParamAnnotationIsPresent()>/$stack43
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void registerExtraParametersFromAcessedUrl()>/$stack7
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void registerParametersWithAsterisks()>/$stack7
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void registerParametersWithRegexes()>/$stack7
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void registerParametersWithMultipleRegexes()>/$stack9
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void registerParametersWithMultipleRegexes()>/$stack13
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void registerParametersWithMultipleRegexes()>/$stack17
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void shouldNotBeGreedyAtPatternCompiling()>/$stack12
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void shouldNotBeGreedyAtPatternCompiling()>/$stack16
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void shouldNotBeGreedyAtPatternCompiling()>/$stack20
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void registerExtraParametersFromAcessedUrlWithGreedyParameters()>/$stack7
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void registerExtraParametersFromAcessedUrlWithGreedyAndDottedParameters()>/$stack7
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void shouldFillRequestWhenAPatternIsSpecified()>/$stack16
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void shouldDecodeUriParameters()>/$stack7
<br.com.caelum.vraptor.http.route.DefaultParametersControlTest: void shouldDecodeUriParameters()>/$stack12
<br.com.caelum.vraptor.view.DefaultPageResultTest: void shouldNotIncludeContextPathIfURIIsAbsolute()>/$stack4
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFieldsOnly()>/$stack35
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFieldsOnly()>/$stack39
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFieldsOnlyWithInvalidCharset()>/$stack35
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFieldsOnlyWithInvalidCharset()>/$stack39
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFilesAndFields()>/$stack43
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFilesAndFields()>/$stack47
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFilesAndFields()>/$stack51
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void withFilesAndFields()>/$stack55
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void fieldsWithSameName()>/$stack39
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void fieldsWithSameName()>/$stack43
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void multipleUpload()>/$stack39
<br.com.caelum.vraptor.interceptor.multipart.CommonsUploadMultipartInterceptorTest: void multipleUpload()>/$stack43
<br.com.caelum.vraptor.interceptor.DownloadInterceptorTest: void whenResultIsADownloadShouldUseIt()>/$stack10
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToPageResultOnForwardToURI()>/$stack2
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToPageResultOnForwardToURI()>/$stack4
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToPageResultOnRedirectToURI()>/$stack2
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToPageResultOnRedirectToURI()>/$stack4
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToPageResultOnPageOf()>/$stack2
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToPageResultOnPageOf()>/$stack5
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToPageResultOnPageOfWithInstance()>/$stack2
<br.com.caelum.vraptor.core.DefaultResultTest: void shouldDelegateToPageResultOnPageOfWithInstance()>/$stack6
<br.com.caelum.vraptor.serialization.HTMLSerializationTest: void shouldForwardToDefaultViewWithoutAlias()>/$stack5
<br.com.caelum.vraptor.serialization.HTMLSerializationTest: void shouldForwardToDefaultViewWithAlias()>/$stack5
<br.com.caelum.vraptor.view.DefaultRefererResultTest: void whenRefererDontMatchAControllerShouldForwardToPage()>/$stack27
<br.com.caelum.vraptor.view.DefaultRefererResultTest: void whenRefererDontMatchAControllerShouldRedirectToPage()>/$stack27
<br.com.caelum.vraptor.validator.ReplicatorOutjectorTest: void shouldReplicateMethodParametersToNextRequest()>/$stack21
<br.com.caelum.vraptor.validator.ReplicatorOutjectorTest: void shouldReplicateMethodParametersToNextRequest()>/$stack27
<br.com.caelum.vraptor.validator.ReplicatorOutjectorTest: void shouldReplicateMethodParametersToNextRequest()>/$stack33
<br.com.caelum.vraptor.extra.ForwardToDefaultViewInterceptorTest: void doesNothingIfResultWasAlreadyUsed()>/$stack10
<br.com.caelum.vraptor.extra.ForwardToDefaultViewInterceptorTest: void shouldForwardToViewWhenResultWasNotUsed()>/$stack14
<br.com.caelum.vraptor.interceptor.OutjectResultTest: void shouldOutjectWithASimpleTypeName()>/$stack21
<br.com.caelum.vraptor.interceptor.OutjectResultTest: void shouldOutjectACollectionAsAList()>/$stack23
<br.com.caelum.vraptor.validator.DefaultValidatorTest: void addsTheErrorsOnTheResult()>/$stack8
